country_name,country_code,regime_category_index,spatial_democracy,parliament_chambers,lower_house_members,spatial_electoral,electoral_category_index,is_monarchy,is_democracy,is_presidential,is_colony,is_communist,has_proportional_voting,has_full_suffrage,is_multiparty,has_free_and_fair_election,has_alternation,has_new_constitution
Finland,FIN,1.0,0.75,1.0,200.0,2.75,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
France,FRA,1.0,1.0,2.0,577.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Gabon,GAB,3.0,0.25,2.0,120.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"Gambia, The",GMB,2.0,1.0,1.0,53.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Georgia,GEO,1.0,0.25,1.0,150.0,2.25,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Germany,GER,0.0,1.0,2.0,631.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Ghana,GHA,2.0,0.0,1.0,275.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Greece,GRC,0.0,0.75,1.0,300.0,2.75,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Grenada,GRD,0.0,0.75,2.0,15.0,2.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Guatemala,GTM,2.0,0.75,1.0,158.0,2.75,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Guinea,GIN,2.0,0.8333333333333334,1.0,114.0,2.833333333333333,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Guinea-Bissau,GNB,2.0,1.0,1.0,102.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Guyana,GUY,2.0,0.5,1.0,65.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Haiti,HTI,3.0,0.75,2.0,99.0,2.5,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Honduras,HND,3.0,0.75,1.0,128.0,2.75,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Hungary,HUN,3.0,0.875,1.0,199.0,2.875,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Iceland,ISL,1.0,1.0,1.0,63.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
India,IND,0.0,0.5,2.0,543.0,2.1666666666666665,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Indonesia,IDN,2.0,0.8,2.0,560.0,2.8,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Iran,IRN,3.0,0.25,2.0,290.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Iraq,IRQ,3.0,0.0,1.0,328.0,1.4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Ireland,IRL,1.0,1.0,2.0,166.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Israel,ISR,0.0,0.0,1.0,120.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Italy,ITA,0.0,1.0,2.0,630.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Jamaica,JAM,0.0,0.3333333333333333,2.0,63.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Japan,JPN,0.0,0.25,2.0,475.0,1.5,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
