Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
221,Tyquan Thornton,25,KAN,WR,14,4,37,19,438,23.1,3,15,48.6,61,1.4,31.3,51.4,11.8,0,
222,Adam Thielen,35,2TM,WR,16,7,35,19,186,9.8,0,10,45.7,28,1.2,11.6,54.3,5.3,0,
223,Adam Thielen,35,MIN,WR,11,4,18,8,69,8.6,0,6,44.4,19,0.7,6.3,44.4,3.8,0,
224,Adam Thielen,35,PIT,WR,5,3,17,11,117,10.6,0,4,47.1,28,2.2,23.4,64.7,6.9,0,
225,Isaiah Bond,21,CLE,WR,16,2,44,18,338,18.8,0,11,31.8,52,1.1,21.1,40.9,7.7,0,
226,Jahan Dotson,25,PHI,WR,17,10,36,18,262,14.6,1,10,38.9,51,1.1,15.4,50,7.3,0,
227,Kareem Hunt,30,KAN,RB,17,4,25,18,143,7.9,1,8,44,22,1.1,8.4,72,5.7,2,
228,Kyle Monangai,23,CHI,RB,17,1,30,18,164,9.1,0,7,36.7,34,1.1,9.6,60,5.5,0,
229,Malik Nabers,22,NYG,WR,4,4,35,18,271,15.1,2,11,45.7,48,4.5,67.8,51.4,7.7,0,
230,David Sills V,29,ATL,WR,17,4,36,18,191,10.6,2,9,38.9,21,1.1,11.2,50,5.3,0,
231,Devin Singletary,28,NYG,RB,17,1,19,18,151,8.4,0,4,47.4,41,1.1,8.9,94.7,7.9,0,
232,Xavier Smith,28,LAR,WR,16,3,24,18,303,16.8,0,11,70.8,51,1.1,18.9,75,12.6,0,
233,Jalen Tolbert,26,DAL,WR,13,8,34,18,203,11.3,1,12,44.1,35,1.4,15.6,52.9,6,0,
234,Jordan Whittington,25,LAR,WR,17,6,25,18,171,9.5,0,7,48,40,1.1,10.1,72,6.8,0,
235,Devin Neal,22,NOR,RB,10,3,19,17,104,6.1,0,4,42.1,18,1.7,10.4,89.5,5.5,0,
236,Samaje Perine,30,CIN,RB,15,2,21,17,87,5.1,0,5,42.9,16,1.1,5.8,81,4.1,3,
237,Calvin Ridley,31,TEN,WR,7,6,36,17,303,17.8,0,13,38.9,47,2.4,43.3,47.2,8.4,0,
238,Ameer Abdullah,32,IND,RB,13,0,17,16,99,6.2,0,4,41.2,15,1.2,7.6,94.1,5.8,1,
239,Jackson Hawes,25,BUF,TE,17,8,19,16,187,11.7,3,13,78.9,29,0.9,11,84.2,9.8,0,
240,Jaylin Lane,23,WAS,WR,15,4,32,16,225,14.1,0,10,40.6,41,1.1,15,50,7,3,
241,Isaac TeSlaa,23,DET,WR,17,3,27,16,239,14.9,6,14,55.6,29,0.9,14.1,59.3,8.9,0,
242,Kimani Vidal,24,LAC,RB,13,10,22,16,136,8.5,1,6,40.9,60,1.2,10.5,72.7,6.2,1,
243,Elijah Arroyo,22,SEA,TE,13,4,26,15,179,11.9,1,7,38.5,32,1.2,13.8,57.7,6.9,1,
244,Derrick Henry,31,BAL,RB,17,17,21,15,150,10,0,4,52.4,44,0.9,8.8,71.4,7.1,4,
245,Julian Hill,25,MIA,TE,14,11,20,15,140,9.3,0,6,50,20,1.1,10,75,7,0,
246,Josh Oliver,28,MIN,TE,15,7,19,15,160,10.7,4,9,68.4,32,1,10.7,78.9,8.4,0,
247,Tim Patrick,32,JAX,WR,16,3,24,15,187,12.5,3,10,54.2,37,0.9,11.7,62.5,7.8,0,
248,Hunter Renfrow,30,CAR,WR,6,2,26,15,89,5.9,2,8,34.6,15,2.5,14.8,57.7,3.4,0,
249,Drew Sample,29,CIN,TE,17,12,20,15,106,7.1,1,5,45,27,0.9,6.2,75,5.3,0,
250,Tyrell Shavers,26,BUF,WR,17,9,23,15,245,16.3,1,11,65.2,43,0.9,14.4,65.2,10.7,0,
251,Emanuel Wilson,26,GNB,RB,17,2,17,15,99,6.6,0,5,52.9,25,0.9,5.8,88.2,5.8,1,
252,Tyler Allgeier,25,ATL,RB,17,2,16,14,96,6.9,0,3,56.3,31,0.8,5.6,87.5,6,0,
253,Jordan Mason,26,MIN,RB,16,5,16,14,51,3.6,0,1,31.3,13,0.9,3.2,87.5,3.2,3,
254,Luke Schoonmaker,27,DAL,TE,17,7,23,14,132,9.4,0,7,47.8,29,0.8,7.8,60.9,5.7,0,
255,Zavier Scott,26,MIN,RB,16,0,16,14,98,7,1,7,56.3,20,0.9,6.1,87.5,6.1,2,
256,Brycen Tremayne,26,CAR,WR,16,1,18,14,160,11.4,0,7,66.7,26,0.9,10,77.8,8.9,1,
257,Brock Wright,27,DET,TE,11,8,22,14,108,7.7,2,7,50,20,1.3,9.8,63.6,4.9,0,
258,Marquez Valdes-Scantling,31,2TM,WR,10,1,29,14,120,8.6,1,6,37.9,19,1.4,12,48.3,4.1,1,
259,Marquez Valdes-Scantling,31,SFO,WR,5,0,8,4,40,10,0,1,37.5,19,0.8,8,50,5,0,
260,Marquez Valdes-Scantling,31,PIT,WR,5,1,21,10,80,8,1,5,38.1,19,2,16,47.6,3.8,1,
261,Mo Alie-Cox,32,IND,TE,17,6,20,13,117,9,1,4,50,20,0.8,6.9,65,5.9,0,
262,Kevin Austin,25,NOR,WR,8,1,23,13,140,10.8,1,7,34.8,36,1.6,17.5,56.5,6.1,0,
263,Trey Benson,23,ARI,RB,4,1,16,13,64,4.9,0,2,37.5,12,3.3,16,81.3,4,0,
264,Chris Brooks,25,GNB,RB,17,0,17,13,91,7,0,3,35.3,16,0.8,5.4,76.5,5.4,0,
265,Nick Chubb,30,HOU,RB,15,9,20,13,67,5.2,0,1,35,27,0.9,4.5,65,3.4,0,
266,Emari Demercado,26,ARI,RB,13,0,20,13,101,7.8,1,3,25,34,1,7.8,65,5.1,1,
267,Tory Horton,23,SEA,WR,8,3,22,13,161,12.4,5,7,45.5,25,1.6,20.1,59.1,7.3,0,
268,Hunter Luepke,25,DAL,RB,17,5,15,13,109,8.4,1,6,40,15,0.8,6.4,86.7,7.3,0,
269,Ian Thomas,29,LVR,TE,15,10,13,13,114,8.8,0,5,76.9,20,0.9,7.6,100,8.8,0,
270,Lil'Jordan Humphrey,27,2TM,WR,10,4,25,13,156,12,1,9,48,34,1.3,15.6,52,6.2,0,
271,Lil'Jordan Humphrey,27,NYG,WR,3,2,10,4,55,13.8,0,2,30,34,1.3,18.3,40,5.5,0,
272,Lil'Jordan Humphrey,27,DEN,WR,7,2,15,9,101,11.2,1,7,60,22,1.3,14.4,60,6.7,0,
273,Gabriel Davis,26,BUF,WR,6,5,18,12,129,10.8,1,8,55.6,22,2,21.5,66.7,7.2,0,
274,Audric Estime,22,NOR,RB,7,1,13,12,103,8.6,0,3,69.2,19,1.7,14.7,92.3,7.9,0,
275,John FitzPatrick,25,GNB,TE,15,4,15,12,72,6,1,4,66.7,11,0.8,4.8,80,4.8,0,
276,Tyler Johnson,27,NYJ,WR,12,5,18,12,197,16.4,1,8,50,35,1,16.4,66.7,10.9,0,
277,Zay Jones,30,ARI,WR,8,0,18,12,183,15.3,0,7,44.4,43,1.5,22.9,66.7,10.2,0,
278,Hunter Long,27,JAX,TE,9,3,17,12,85,7.1,2,5,58.8,11,1.3,9.4,70.6,5,1,
279,Jalen McMillan,24,TAM,WR,4,2,15,12,178,14.8,0,8,66.7,33,3,44.5,80,11.9,0,
280,Raheem Mostert,33,LVR,RB,12,0,12,12,70,5.8,0,6,58.3,18,1,5.8,100,5.8,0,
281,Cade Stover,25,HOU,TE,9,7,16,12,76,6.3,0,4,50,11,1.3,8.4,75,4.8,0,
282,Roman Wilson,24,PIT,WR,13,4,21,12,166,13.8,2,7,47.6,45,0.9,12.8,57.1,7.9,1,
283,John Bates,28,WAS,TE,15,11,16,11,103,9.4,1,6,62.5,22,0.7,6.9,68.8,6.4,0,
284,Malachi Corley,23,CLE,WR,13,5,14,11,79,7.2,0,5,35.7,19,0.8,6.1,78.6,5.6,0,
285,Will Dissly,29,LAC,TE,9,2,16,11,97,8.8,0,5,50,18,1.2,10.8,68.8,6.1,0,
286,J.K. Dobbins,27,DEN,RB,10,9,14,11,37,3.4,0,0,35.7,9,1.1,3.7,78.6,2.6,0,
287,Luke Farrell,28,SFO,TE,17,4,14,11,85,7.7,2,6,71.4,11,0.6,5,78.6,6.1,1,
288,Terrance Ferguson,22,LAR,TE,14,3,25,11,231,21,3,9,40,36,0.8,16.5,44,9.2,0,
289,Taysom Hill,35,NOR,TE,13,5,16,11,91,8.3,0,2,37.5,17,0.8,7,68.8,5.7,3,
290,Jimmy Horn,23,CAR,WR,13,0,15,11,108,9.8,0,4,46.7,34,0.8,8.3,73.3,7.2,0,
291,Luke McCaffrey,24,WAS,WR,9,0,15,11,203,18.5,3,6,66.7,50,1.2,22.6,73.3,13.5,0,
292,Chris Moore,32,WAS,WR,14,5,23,11,207,18.8,1,10,47.8,44,0.8,14.8,47.8,9,0,
293,Josh Reynolds,30,NYJ,WR,5,3,21,11,101,9.2,0,4,47.6,13,2.2,20.2,52.4,4.8,0,
294,Ben Sinnott,23,WAS,TE,16,3,13,11,114,10.4,1,5,53.8,36,0.7,7.1,84.6,8.8,0,
295,Mason Tipton,25,NOR,WR,14,3,17,11,76,6.9,0,4,41.2,12,0.8,5.4,64.7,4.5,1,
296,Nick Westbrook-Ikhine,28,MIA,WR,15,3,20,11,89,8.1,0,8,40,18,0.7,5.9,55,4.5,0,
297,LeQuint Allen,21,JAX,RB,17,1,11,10,54,5.4,0,0,18.2,10,0.6,3.2,90.9,4.9,0,
298,Treylon Burks,25,WAS,WR,8,3,22,10,130,13,1,7,40.9,37,1.3,16.3,45.5,5.9,0,
299,Ray Davis,26,BUF,RB,17,0,13,10,86,8.6,2,7,61.5,21,0.6,5.1,76.9,6.6,0,AP-1
300,Isaiah Hodgins,27,NYG,WR,7,5,19,10,115,11.5,1,6,47.4,30,1.4,16.4,52.6,6.1,0,
301,Charlie Kolar,26,BAL,TE,17,7,15,10,142,14.2,2,9,66.7,23,0.6,8.4,66.7,9.5,0,
302,Allen Lazard,30,NYJ,WR,10,2,18,10,70,7,1,4,38.9,10,1,7,55.6,3.9,0,
303,Konata Mumpfield,23,LAR,WR,17,0,23,10,92,9.2,1,7,34.8,19,0.6,5.4,43.5,4,0,
304,Dare Ogunbowale,31,HOU,RB,17,0,13,10,76,7.6,0,3,30.8,18,0.6,4.5,76.9,5.8,1,
305,Gunner Olszewski,29,NYG,WR,16,1,13,10,145,14.5,1,7,69.2,28,0.6,9.1,76.9,11.2,1,
306,Dont'e Thornton,23,LVR,WR,15,8,30,10,135,13.5,0,7,26.7,36,0.7,9,33.3,4.5,0,
307,Jamari Thrash,25,CLE,WR,9,1,15,10,107,10.7,0,5,53.3,23,1.1,11.9,66.7,7.1,0,
308,Bhayshul Tuten,22,JAX,RB,15,0,14,10,79,7.9,2,3,50,24,0.7,5.3,71.4,5.6,2,
309,Kyle Williams,23,NWE,WR,17,0,21,10,209,20.9,3,7,42.9,72,0.6,12.3,47.6,10,0,
310,Savion Williams,24,GNB,WR,12,0,10,10,78,7.8,1,3,50,33,0.8,6.5,100,7.8,1,
311,Rasheen Ali,24,BAL,RB,15,0,11,9,68,7.6,1,2,27.3,30,0.6,4.5,81.8,6.2,0,
312,Grant Calcaterra,27,PHI,TE,15,6,13,9,76,8.4,1,4,53.8,16,0.6,5.1,69.2,5.8,0,
313,Tanner Conner,27,MIA,TE,9,0,15,9,91,10.1,0,3,46.7,28,1,10.1,60,6.1,0,
314,Darius Cooper,24,PHI,WR,13,0,11,9,92,10.2,0,6,63.6,19,0.7,7.1,81.8,8.4,0,
315,Jacory Croskey-Merritt,24,WAS,RB,17,7,13,9,68,7.6,0,3,46.2,28,0.5,4,69.2,5.2,4,
316,Scott Miller,28,PIT,WR,13,0,14,9,62,6.9,0,4,42.9,15,0.7,4.8,64.3,4.4,0,
317,Keaton Mitchell,23,BAL,RB,13,0,12,9,63,7,0,2,41.7,17,0.7,4.8,75,5.3,1,
318,Elijah Moore,25,BUF,WR,9,2,17,9,112,12.4,0,4,35.3,31,1,12.4,52.9,6.6,0,
319,Johnny Mundt,31,JAX,TE,16,6,19,9,111,12.3,0,6,47.4,21,0.6,6.9,47.4,5.8,0,
320,Dante Pettis,30,NOR,WR,8,0,11,9,127,14.1,0,4,45.5,32,1.1,15.9,81.8,11.5,1,
321,Will Shipley,23,PHI,RB,15,0,12,9,56,6.2,0,2,16.7,12,0.6,3.7,75,4.7,1,
322,Brevyn Spann-Ford,26,DAL,TE,17,5,13,9,90,10,1,4,53.8,31,0.5,5.3,69.2,6.9,0,
323,James Conner,30,ARI,RB,3,3,9,8,38,4.8,1,4,55.6,18,2.7,12.7,88.9,4.2,1,
324,Blake Corum,25,LAR,RB,17,0,14,8,36,4.5,0,2,28.6,14,0.5,2.1,57.1,2.6,0,
325,Anthony Firkser,30,DET,TE,7,4,10,8,53,6.6,0,4,40,18,1.1,7.6,80,5.3,0,
326,Alec Ingold,29,MIA,FB,17,10,11,8,52,6.5,0,4,36.4,22,0.5,3.1,72.7,4.7,0,
327,Brian Robinson Jr.,26,SFO,RB,17,0,12,8,25,3.1,0,1,25,6,0.5,1.5,66.7,2.1,0,
328,Miles Sanders,28,DAL,RB,4,0,8,8,30,3.8,0,0,37.5,9,2,7.5,100,3.8,1,
329,Mitchell Tinsley,26,CIN,WR,17,4,24,8,116,14.5,2,6,33.3,27,0.5,6.8,33.3,4.8,0,
330,Sean Tucker,24,TAM,RB,17,0,11,8,34,4.3,1,1,18.2,28,0.5,2,72.7,3.1,2,
331,Charlie Woerner,28,ATL,TE,17,13,9,8,48,6,0,2,33.3,18,0.5,2.8,88.9,5.3,0,
332,Trayveon Williams,28,2TM,RB,7,0,9,8,55,6.9,0,2,33.3,26,1.1,7.9,88.9,6.1,0,
333,Trayveon Williams,28,LAC,RB,3,0,1,1,0,0,0,0,0,,0.3,0,100,0,0,
334,Trayveon Williams,28,CLE,RB,4,0,8,7,55,7.9,0,2,37.5,26,1.8,13.8,87.5,6.9,0,
335,Tyler Conklin,30,LAC,TE,13,5,10,7,101,14.4,0,3,50,33,0.5,7.8,70,10.1,1,
336,Dylan Drummond,25,ATL,WR,9,0,11,7,42,6,0,2,27.3,15,0.8,4.7,63.6,3.8,0,
337,Ollie Gordon,21,MIA,RB,17,1,9,7,32,4.6,1,1,11.1,20,0.4,1.9,77.8,3.6,0,
338,Kylen Granson,27,PHI,TE,17,3,9,7,40,5.7,0,3,66.7,12,0.4,2.4,77.8,4.4,0,
339,Jawhar Jordan,26,HOU,RB,4,0,7,7,34,4.9,0,2,42.9,14,1.8,8.5,100,4.9,0,
340,Gage Larvadain,23,CLE,WR,13,0,14,7,71,10.1,0,3,28.6,14,0.5,5.5,50,5.1,4,
341,Foster Moreau,28,NOR,TE,11,9,10,7,59,8.4,0,2,60,16,0.6,5.4,70,5.9,0,
342,Curtis Samuel,29,BUF,WR,6,0,9,7,81,11.6,1,5,55.6,21,1.2,13.5,77.8,9,0,
343,Stone Smartt,27,NYJ,TE,15,1,9,7,52,7.4,0,3,55.6,17,0.5,3.5,77.8,5.8,0,
344,Arian Smith,24,NYJ,WR,16,5,16,7,52,7.4,0,4,31.3,23,0.4,3.3,43.8,3.3,0,
345,Xavier Weaver,25,ARI,WR,10,2,13,7,67,9.6,0,2,30.8,23,0.7,6.7,53.8,5.2,0,
346,Ray-Ray McCloud,29,2TM,WR,6,2,15,7,69,9.9,0,4,33.3,24,1.2,11.5,46.7,4.6,0,
347,Ray-Ray McCloud,29,ATL,WR,4,1,14,6,64,10.7,0,4,28.6,24,1.5,16,42.9,4.6,0,
348,Ray-Ray McCloud,29,NYG,WR,2,1,1,1,5,5,0,0,100,5,0.5,2.5,100,5,0,
349,Nate Adkins,26,DEN,TE,9,6,11,6,48,8,1,3,45.5,16,0.7,5.3,54.5,4.4,0,
350,Tutu Atwell,26,LAR,WR,10,4,15,6,192,32,1,4,40,88,0.6,19.2,40,12.8,0,
351,Andrew Beck,29,NYJ,FB,17,2,9,6,45,7.5,2,4,66.7,17,0.4,2.6,66.7,5,0,
352,Braxton Berrios,30,HOU,WR,4,0,8,6,37,6.2,0,3,37.5,14,1.5,9.3,75,4.6,0,
353,Malik Heath,25,GNB,WR,11,0,7,6,86,14.3,0,4,85.7,37,0.5,7.8,85.7,12.3,0,
354,Quintin Morris,26,JAX,TE,14,5,9,6,55,9.2,1,4,66.7,14,0.4,3.9,66.7,6.1,0,
355,Adam Prentice,28,DEN,FB,17,3,8,6,53,8.8,0,3,50,14,0.4,3.1,75,6.6,0,
356,James Proche,29,TEN,WR,9,2,12,6,65,10.8,0,2,33.3,23,0.7,7.2,50,5.4,0,
357,Jack Stoll,27,NOR,TE,15,4,11,6,46,7.7,1,2,54.5,13,0.4,3.1,54.5,4.2,0,
358,Devontez Walker,24,BAL,WR,12,3,8,6,136,22.7,3,5,75,38,0.5,11.3,75,17,0,
359,Jahdae Walker,23,CHI,WR,9,1,10,6,87,14.5,2,4,60,25,0.7,9.7,60,8.7,0,
360,Casey Washington,24,ATL,WR,7,2,14,6,94,15.7,0,6,42.9,25,0.9,13.4,42.9,6.7,0,
361,Theo Wease,24,MIA,WR,3,0,10,6,139,23.2,1,6,60,63,2,46.3,60,13.9,0,
362,Noah Brown,29,WAS,WR,4,4,10,5,83,16.6,0,3,50,28,1.3,20.8,50,8.3,0,
363,Robbie Chosen,32,WAS,WR,3,0,9,5,53,10.6,0,2,22.2,17,1.7,17.7,55.6,5.9,0,
364,Ashton Dulin,28,IND,WR,12,2,10,5,106,21.2,0,4,40,48,0.4,8.8,50,10.6,0,
365,Austin Ekeler,30,WAS,RB,2,2,7,5,38,7.6,0,2,42.9,15,2.5,19,71.4,5.4,0,
366,Jalin Hyatt,24,NYG,WR,8,0,14,5,35,7,0,2,28.6,14,0.6,4.4,35.7,2.5,0,
367,KeAndre Lambert-Smith,24,LAC,WR,10,2,12,5,51,10.2,1,3,33.3,18,0.5,5.1,41.7,4.3,0,
368,Kendre Miller,23,NOR,RB,7,0,5,5,30,6,0,1,20,11,0.7,4.3,100,6,0,
369,Skyy Moore,25,SFO,WR,17,0,7,5,87,17.4,0,5,71.4,23,0.3,5.1,71.4,12.4,1,
370,Albert Okwuegbunam,27,LVR,TE,1,0,6,5,36,7.2,0,2,50,16,5,36,83.3,6,0,
371,Josh Whyle,26,GNB,TE,8,1,6,5,36,7.2,1,2,66.7,21,0.6,4.5,83.3,6,0,
372,Cedrick Wilson Jr.,30,MIA,WR,10,5,9,5,44,8.8,0,3,33.3,16,0.5,4.4,55.6,4.9,0,
373,Jaylen Wright,22,MIA,RB,10,1,9,5,44,8.8,0,2,33.3,18,0.5,4.4,55.6,4.9,2,
374,Michael Bandy,28,DEN,WR,4,0,4,4,50,12.5,1,3,100,20,1,12.5,100,12.5,1,
375,D'Wayne Eskridge,28,MIA,WR,13,0,7,4,62,15.5,0,3,42.9,40,0.3,4.8,57.1,8.9,1,
376,Hassan Haskins,26,LAC,RB,12,0,4,4,13,3.3,0,0,25,9,0.3,1.1,100,3.3,0,
377,Shedrick Jackson,26,LVR,WR,5,0,5,4,56,14,1,2,40,25,0.8,11.2,80,11.2,0,
378,Kameron Johnson,23,TAM,WR,17,0,7,4,64,16,1,3,42.9,34,0.2,3.8,57.1,9.1,2,
379,Tom Kennedy,29,DET,WR,6,0,4,4,36,9,0,2,75,23,0.7,6,100,9,0,
380,Keleki Latu,23,BUF,TE,5,0,4,4,35,8.8,0,3,75,14,0.8,7,100,8.8,0,
381,David Martin-Robinson,26,TEN,TE,17,4,6,4,30,7.5,1,3,66.7,14,0.2,1.8,66.7,5,0,
382,Scott Matlock,25,LAC,FB,16,8,4,4,12,3,1,1,75,5,0.3,0.8,100,3,0,
383,Jaleel McLaughlin,25,DEN,RB,8,1,6,4,27,6.8,0,2,50,17,0.5,3.4,66.7,4.5,0,
384,Bo Melton,26,GNB,CB,16,1,13,4,107,26.8,1,4,30.8,45,0.3,6.7,30.8,8.2,0,
385,Andrew Ogletree,27,IND,TE,15,5,6,4,27,6.8,1,2,66.7,11,0.3,1.8,66.7,4.5,0,
386,Eric Saubert,31,SEA,TE,11,5,7,4,31,7.8,0,2,42.9,12,0.4,2.8,57.1,4.4,0,
387,Ben Skowronek,28,PIT,WR,17,3,6,4,69,17.3,1,4,66.7,22,0.2,4.1,66.7,11.5,0,PB
388,Durham Smythe,30,CHI,TE,17,2,6,4,25,6.3,0,1,50,11,0.2,1.5,66.7,4.2,0,
389,Tylan Wallace,26,BAL,WR,14,2,8,4,45,11.3,1,3,37.5,15,0.3,3.2,50,5.6,0,
390,Zamir White,26,LVR,RB,6,0,6,4,24,6,0,0,50,9,0.7,4,66.7,4,0,
391,Brenden Bates,26,2TM,TE,9,3,5,4,48,12,0,3,80,19,0.4,5.3,80,9.6,0,
392,Brenden Bates,26,HOU,TE,3,0,2,2,23,11.5,0,2,100,19,0.7,7.7,100,11.5,0,
393,Brenden Bates,26,CLE,TE,6,3,3,2,25,12.5,0,1,66.7,19,0.3,4.2,66.7,8.3,0,
394,Tank Bigsby,24,2TM,RB,17,1,4,3,32,10.7,0,1,25,31,0.2,1.9,75,8,0,
395,Tank Bigsby,24,JAX,RB,1,0,0,0,0,,0,0,,,0,0,,,0,
396,Tank Bigsby,24,PHI,RB,16,1,4,3,32,10.7,0,1,25,31,0.2,2,75,8,0,
397,Jalen Brooks,25,ARI,WR,5,0,6,3,51,17,0,3,50,20,0.6,10.2,50,8.5,1,
398,Ty Chandler,27,MIN,RB,3,0,4,3,11,3.7,0,1,25,11,1,3.7,75,2.8,0,
399,Efton Chism,24,NWE,WR,8,1,3,3,75,25,1,3,100,35,0.4,9.4,100,25,0,
400,Josiah Deguara,28,ARI,TE,12,2,5,3,21,7,1,2,60,8,0.3,1.8,60,4.2,0,
401,AJ Dillon,27,PHI,RB,7,0,3,3,21,7,0,0,100,11,0.4,3,100,7,1,
402,Trevor Etienne,21,CAR,RB,17,0,3,3,13,4.3,0,1,33.3,7,0.2,0.8,100,4.3,2,
403,Tai Felton,22,MIN,WR,17,0,3,3,25,8.3,0,2,66.7,10,0.2,1.5,100,8.3,0,
404,Najee Harris,27,LAC,RB,3,0,3,3,25,8.3,0,1,66.7,11,1,8.3,100,8.3,0,
405,Connor Heyward,26,PIT,TE,17,2,4,3,21,7,1,1,50,12,0.2,1.2,75,5.3,0,
406,KhaDarel Hodge,30,ATL,WR,12,1,10,3,31,10.3,0,2,30,16,0.3,2.6,30,3.1,0,
407,Dylan Laube,26,LVR,RB,17,0,4,3,18,6,0,1,50,13,0.2,1.1,75,4.5,1,
408,James Mitchell,26,CAR,TE,5,0,3,3,28,9.3,0,2,100,11,0.6,5.6,100,9.3,0,
409,Jaret Patterson,26,LAC,RB,6,1,4,3,8,2.7,0,1,25,4,0.5,1.3,75,2,0,
410,Tip Reiman,24,ARI,TE,4,3,5,3,18,6,0,1,40,10,0.8,4.5,60,3.6,0,
411,Xavier Restrepo,23,TEN,WR,2,0,7,3,41,13.7,0,3,42.9,15,1.5,20.5,42.9,5.9,0,
412,Chris Rodriguez,25,WAS,RB,13,7,4,3,30,10,0,1,75,18,0.2,2.3,75,7.5,0,
413,Raheim Sanders,23,CLE,RB,4,1,4,3,21,7,0,0,75,10,0.8,5.3,75,5.3,0,
414,Trent Sherfield,29,2TM,WR,12,3,5,3,21,7,0,1,20,15,0.3,1.8,60,4.2,0,
415,Trent Sherfield,29,DEN,WR,10,3,4,3,21,7,0,1,25,15,0.3,2.1,75,5.3,0,
416,Trent Sherfield,29,ARI,WR,2,0,1,0,0,,0,0,0,,0,0,0,0,0,
417,Ben Sims,25,MIN,TE,8,2,6,3,30,10,0,2,33.3,18,0.4,3.8,50,5,0,
418,Deven Thompkins,26,ATL,WR,7,0,3,3,27,9,0,1,100,19,0.4,3.9,100,9,0,
419,Austin Trammell,27,JAX,WR,6,0,10,3,46,15.3,0,2,20,18,0.5,7.7,30,4.6,0,
420,Tahj Washington,24,MIA,WR,6,1,5,3,37,12.3,0,1,40,19,0.5,6.2,60,7.4,1,
421,Justin Watson,29,HOU,WR,3,0,4,3,30,10,0,1,50,15,1,10,75,7.5,0,
422,Cody White,27,SEA,WR,10,0,4,3,90,30,1,2,75,60,0.3,9,75,22.5,0,
423,Shane Zylstra,29,DET,TE,6,3,5,3,20,6.7,0,1,20,11,0.5,3.3,60,4,0,
424,Braelon Allen,21,NYJ,RB,4,0,3,2,17,8.5,0,1,66.7,12,0.5,4.3,66.7,5.7,1,
425,Andre Baccellia,28,ARI,WR,5,2,4,2,8,4,0,0,25,5,0.4,1.6,50,2,0,
426,Alex Bachman,29,LVR,WR,13,0,3,2,12,6,0,2,66.7,9,0.2,0.9,66.7,4,1,
427,Ronnie Bell,25,NOR,WR,2,0,4,2,23,11.5,1,1,25,16,1,11.5,50,5.8,0,
428,Jake Bobo,27,SEA,WR,11,0,2,2,20,10,0,1,50,17,0.2,1.8,100,10,0,
429,Pharaoh Brown,31,ARI,TE,7,2,2,2,1,0.5,0,0,0,1,0.3,0.1,100,0.5,0,
430,Harrison Bryant,27,HOU,TE,12,4,6,2,7,3.5,0,1,16.7,5,0.2,0.6,33.3,1.2,0,
431,Sal Cannella,29,CLE,TE,2,0,5,2,11,5.5,0,1,20,6,1,5.5,40,2.2,0,
432,Beaux Collins,23,NYG,WR,9,0,6,2,25,12.5,0,1,33.3,18,0.2,2.8,33.3,4.2,0,
433,Britain Covey,28,PHI,WR,6,0,4,2,20,10,0,2,50,12,0.3,3.3,50,5,2,
434,Derius Davis,25,LAC,WR,11,0,3,2,10,5,0,0,33.3,7,0.2,0.9,66.7,3.3,1,
435,Malik Davis,27,DAL,RB,10,0,5,2,16,8,0,0,0,10,0.2,1.6,40,3.2,0,
436,Devin Duvernay,28,CHI,WR,17,0,5,2,26,13,0,1,40,24,0.1,1.5,40,5.2,0,
437,Ross Dwelley,30,DET,TE,11,1,5,2,7,3.5,0,0,20,4,0.2,0.6,40,1.4,0,
438,Clyde Edwards-Helaire,26,KAN,RB,2,0,2,2,9,4.5,0,0,50,7,1,4.5,100,4.5,0,
439,Tucker Fisk,26,LAC,TE,10,7,4,2,19,9.5,0,1,25,12,0.2,1.9,50,4.8,0,
440,Antonio Gibson,27,NWE,RB,5,0,3,2,6,3,0,0,0,5,0.4,1.2,66.7,2,2,
441,Reggie Gilliam,28,BUF,FB,17,2,2,2,24,12,0,1,50,22,0.1,1.4,100,12,0,
442,Xavier Gipson,24,PHI,WR,5,0,2,2,6,3,0,0,0,3,0.4,1.2,100,3,2,
443,Tyler Goodson,25,IND,RB,11,0,3,2,8,4,0,0,33.3,8,0.2,0.7,66.7,2.7,0,
444,Anthony Gould,24,IND,WR,11,1,2,2,6,3,0,0,0,3,0.2,0.5,100,3,0,
445,Cam Grandy,25,CIN,TE,5,1,2,2,7,3.5,0,0,50,6,0.4,1.4,100,3.5,1,
446,C.J. Ham,32,MIN,FB,11,1,2,2,11,5.5,0,1,100,6,0.2,1,100,5.5,0,
447,George Holani,26,SEA,RB,11,0,2,2,15,7.5,0,1,50,11,0.2,1.4,100,7.5,1,
448,Jakobie Keeney-James,25,GNB,WR,1,1,2,2,15,7.5,0,0,50,8,2,15,100,7.5,0,
449,Corey Kiner,23,ARI,RB,4,0,3,2,15,7.5,0,1,66.7,11,0.5,3.8,66.7,5,0,
450,Mason Kinsey,27,TEN,WR,10,0,4,2,48,24,0,2,50,34,0.2,4.8,50,12,0,
451,Lucas Krull,27,DEN,TE,3,3,4,2,15,7.5,0,0,25,9,0.7,5,50,3.8,0,
452,Phil Mafah,23,DAL,RB,1,0,2,2,11,5.5,0,1,50,10,2,11,100,5.5,0,
