Season,Season Type,Week,Player Name,Position,Team Abbreviation,Avg Cushion,Avg Separation,Avg Intended Air Yards,Share of Intended Air Yards (%),Receptions,Targets,Catch Percentage,Yards,Receiving Touchdowns,Avg Yards After Catch,Avg Expected YAC,YAC Above Expectation,Player GSIS ID
2025,REG,8,George Pickens,WR,DAL,5.973333333333333,2.3962846849448693,8.195555555555554,26.16066678489093,7,9,77.77777777777779,78.0,0,2.270000000000002,2.0334605781728725,0.23653942182712928,00-0037247
2025,REG,8,Alec Pierce,WR,IND,5.85,2.1166546677514617,26.744,55.40271793172025,2,5,40.0,69.0,0,2.379999999999999,3.0683680511647253,-0.6883680511647263,00-0037664
2025,REG,8,Michael Pittman,WR,IND,5.841111111111111,1.9686213840530493,6.77888888888889,25.277593636062313,8,9,88.88888888888889,95.0,1,4.134999999999999,2.38279160629628,1.752208393703719,00-0036252
2025,REG,8,Deebo Samuel Sr.,WR,WAS,5.84,3.902956039466298,3.2000000000000015,12.93364769282587,3,6,50.0,11.0,0,3.8033333333333297,6.106211027266757,-2.3028776939334272,00-0035719
2025,REG,8,DeVonta Smith,WR,PHI,5.797777777777778,2.598832435058219,12.742222222222221,68.3677119351377,6,9,66.66666666666666,84.0,0,3.318333333333333,4.109074121948048,-0.7907407886147149,00-0036912
2025,REG,8,KhaDarel Hodge,WR,ATL,5.776249999999999,3.5282090052827666,10.21125,35.62892533147243,3,8,37.5,31.0,0,2.6300000000000003,2.0189183924302747,0.6110816075697256,00-0034854
2025,REG,8,Braxton Berrios,WR,HOU,5.51,3.1492419701346637,5.231999999999998,9.083648737803394,5,5,100.0,38.0,0,2.368000000000001,1.5512608102800385,0.8167391897199627,00-0034419
2025,REG,8,Rome Odunze,WR,CHI,5.471,1.962338216461557,14.088999999999999,45.76876847610694,7,10,70.0,114.0,0,2.2471428571428573,1.7081873889100834,0.538955468232774,00-0039919
2025,REG,8,Romeo Doubs,WR,GB,5.408333333333334,2.6406969347262614,17.12666666666667,53.947921041579164,3,6,50.0,44.0,0,4.713333333333332,4.360919030112387,0.3524143032209448,00-0037816
2025,REG,8,Mack Hollins,WR,NE,5.398571428571429,3.8288262061980114,8.695714285714287,22.25350053010639,7,7,100.0,89.0,0,4.018571428571429,3.44407692607976,0.5744945024916688,00-0033555
2025,REG,8,George Kittle,TE,SF,5.335,2.725659087360447,7.752000000000001,11.92982456140351,4,5,80.0,43.0,1,3.3425000000000002,3.9296449897132106,-0.5871449897132104,00-0033288
2025,REG,8,Jayden Higgins,WR,HOU,5.0425,2.2509814543517184,10.535,29.264905031424703,4,8,50.0,34.0,1,2.2675,1.3233415477822064,0.9441584522177937,00-0040130
2025,REG,8,David Njoku,TE,CLE,4.9366666666666665,3.7497052171381022,5.918000000000001,13.468979015886024,4,5,80.0,37.0,1,3.965,4.412493650164322,-0.4474936501643221,00-0033885
2025,REG,8,Jaylen Waddle,WR,MIA,4.920000000000001,2.529208463273357,11.325000000000001,72.97819783052303,5,6,83.33333333333334,99.0,1,9.901999999999997,7.677614429007145,2.224385570992853,00-0036613
2025,REG,8,Ja'Marr Chase,WR,CIN,4.834210526315789,3.6177494852941354,4.777894736842105,46.49900117809763,12,19,63.1578947368421,91.0,0,6.456666666666667,5.380599037453794,1.076067629212873,00-0036900
2025,REG,8,Kyle Pitts,TE,ATL,4.824285714285714,4.145161772060302,4.112222222222224,16.141835310537335,9,9,100.0,59.0,0,2.4433333333333325,5.032538749065351,-2.5892054157320183,00-0036970
2025,REG,8,Keenan Allen,WR,LAC,4.564,2.1018263368541064,10.608,25.13386722266976,4,5,80.0,44.0,0,2.3925,2.213072097456987,0.17942790254301322,00-0030279
2025,REG,8,Tetairoa McMillan,WR,CAR,4.561999999999999,2.5978428886543314,10.873000000000001,59.48030634573305,7,10,70.0,99.0,0,3.3600000000000003,4.698627128542964,-1.3386271285429636,00-0040124
2025,REG,8,Harold Fannin Jr.,TE,CLE,4.5616666666666665,3.0007302619036795,6.4887500000000005,23.628749601711505,6,8,75.0,62.0,1,4.385000000000001,4.887318956171423,-0.5023189561714227,00-0040663
2025,REG,8,KaVontae Turpin,WR,DAL,4.526,5.072945294268719,1.111999999999999,1.9719808476680243,1,5,20.0,-2.0,0,0.6099999999999994,3.799641765776869,-3.1896417657768694,00-0037801
2025,REG,8,Tyler Warren,TE,IND,4.415,3.6052810685612373,6.002000000000001,12.43370898243288,4,5,80.0,53.0,0,10.12,12.44190038797862,-2.321900387978621,00-0040128
2025,REG,8,Juwan Johnson,TE,NO,4.133750000000001,2.9894136741945103,10.956249999999999,19.982673323758057,5,8,62.5,53.0,0,2.22,1.87938013038069,0.3406198696193101,00-0036040
2025,REG,8,DK Metcalf,WR,PIT,3.795714285714286,2.7451639028334793,9.012857142857143,28.936384901160395,5,7,71.42857142857143,55.0,1,6.45,3.7785232985361064,2.671476701463894,00-0035640
2025,REG,8,Stefon Diggs,WR,NE,3.3659999999999997,2.3620799496507106,5.285999999999998,9.66255986546265,3,5,60.0,14.0,1,1.3466666666666693,1.8139286249514157,-0.46726195828474637,00-0031588
2025,REG,9,Greg Dulcich,TE,MIA,9.635,2.734376973220057,5.653999999999999,11.689546807806813,5,5,100.0,49.0,0,4.146000000000001,4.469555589231641,-0.3235555892316402,00-0037252
2025,REG,9,Zay Flowers,WR,BAL,8.772,3.8553454614921647,6.476000000000002,15.757457783833766,5,5,100.0,64.0,0,6.323999999999998,5.041324447307306,1.2826755526926918,00-0039064
2025,REG,9,Alec Pierce,WR,IND,8.436153846153845,2.140861418121604,16.02076923076923,51.01156069364162,6,13,46.15384615384615,115.0,0,4.590000000000001,2.104089904449124,2.4859100955508766,00-0037664
2025,REG,9,Wan'Dale Robinson,WR,NYG,8.368333333333332,3.741809662273529,4.207272727272728,24.343800957340488,9,11,81.81818181818183,46.0,0,1.8533333333333326,2.87674197114883,-1.0234086378154972,00-0038117
2025,REG,9,Hunter Henry,TE,NE,8.366,2.5910110408375657,6.730000000000001,14.834680382072014,4,6,66.66666666666666,51.0,0,7.459999999999997,8.616740536758357,-1.1567405367583596,00-0033090
2025,REG,9,Elic Ayomanor,WR,TEN,8.322,5.988020720532113,11.020000000000001,36.69867347505134,3,6,50.0,46.0,0,6.883333333333332,7.5183113361393525,-0.6349780028060206,00-0040170
2025,REG,9,CeeDee Lamb,WR,DAL,8.136666666666665,3.163804910387729,14.047500000000001,41.94118232484077,7,12,58.333333333333336,85.0,0,4.71,4.479196446686387,0.23080355331361257,00-0036358
2025,REG,9,Romeo Doubs,WR,GB,8.014,2.135257312742918,12.518999999999998,40.717491706238214,7,10,70.0,91.0,0,2.2985714285714307,2.174094252450534,0.1244771761208967,00-0037816
2025,REG,9,Troy Franklin,WR,DEN,7.975,1.745322149034833,19.249999999999996,47.063713265854965,4,10,40.0,27.0,0,0.9700000000000006,1.339181675064013,-0.36918167506401245,00-0039868
2025,REG,9,Dalton Kincaid,TE,BUF,7.824000000000001,4.4394065247710826,7.746666666666666,40.7540552389303,6,6,100.0,101.0,1,9.086666666666668,8.65426457187535,0.43240209479131764,00-0038933
2025,REG,9,Rashid Shaheed,WR,NO,7.614444444444445,2.4566008838803484,12.234444444444442,50.73024648698456,5,9,55.55555555555556,68.0,0,2.834000000000002,2.6284782709664185,0.20552172903358334,00-0037545
2025,REG,9,Tetairoa McMillan,WR,CAR,7.593333333333334,2.2660184935633247,11.059999999999997,53.1219980787704,4,6,66.66666666666666,46.0,0,0.422500000000003,2.028460960172481,-1.605960960172478,00-0040124
2025,REG,9,Michael Pittman,WR,IND,7.570000000000001,3.9444538722109375,9.911666666666669,29.131968257078483,9,12,75.0,115.0,0,2.936666666666665,3.2649507701234017,-0.32828410345673653,00-0036252
2025,REG,9,Keenan Allen,WR,LAC,7.514,2.4905994274352232,14.976000000000003,25.196850393700792,2,5,40.0,41.0,0,7.604999999999997,3.6337920071373446,3.9712079928626522,00-0030279
2025,REG,9,Puka Nacua,WR,LAR,7.475714285714285,2.9297490509369633,9.713750000000001,24.708276366411248,7,8,87.5,95.0,1,3.202857142857142,2.6532295951145266,0.5496275477426154,00-0039075
