"gsis_id","headshot"
"00-0028337","https://static.www.nfl.com/image/private/f_auto,q_auto/league/grsspcfae7w0fy415cdj"
"00-0034424","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/czuncqaya4qcf5guud1f"
"00-0022247","https://static.www.nfl.com/image/private/f_auto,q_auto/league/lkfpqqbpyo1y29eeoqhb"
"00-0025668","https://static.www.nfl.com/image/private/f_auto,q_auto/league/c6ustof4db1od2scnmv6"
"00-0029202","https://static.www.nfl.com/image/private/f_auto,q_auto/league/jm6guxqs4buotenwutfr"
"ADA504348","https://static.www.nfl.com/image/private/f_auto,q_auto/league/kbl04pmvktz4d4agl3na"
"ADA510348","https://static.www.nfl.com/image/private/f_auto,q_auto/league/jtnzs7bnhxpjyg1g56zc"
"00-0033929","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/weqjlnkvdzbk0usa3v7i"
"00-0035946","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f11lhmyjrovmo0mdp5wa"
"00-0035007","https://static.www.nfl.com/image/private/f_auto,q_auto/league/oawhx4is1eepvdgl9fjp"
"ADA526034","https://static.www.nfl.com/image/private/f_auto,q_auto/league/rqln3vprg8wxojzqdlzs"
"00-0027610","https://static.www.nfl.com/image/private/f_auto,q_auto/league/fqfsmsirbg0mlecvm8ip"
"ADA553720","https://static.www.nfl.com/image/private/f_auto,q_auto/league/gqvqcnyjvsffksmpimjr"
"00-0033957","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ae8lsm9ahaczhqfz1pvo"
"00-0028829","https://static.www.nfl.com/image/private/f_auto,q_auto/league/sph4pazcenryfe0glebm"
"00-0000065","https://static.www.nfl.com/image/private/f_auto,q_auto/league/pqwbc18lkp6evgok8768"
"ADA581406","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ywynqkqkpb5xfargtexq"
"00-0000066","https://static.www.nfl.com/image/private/f_auto,q_auto/league/yjbhmufjtd7bhwmbe0xv"
"ADA609092","https://static.www.nfl.com/image/private/f_auto,q_auto/league/aqb8yo0fxath56pzaokp"
"ADA636778","https://static.www.nfl.com/image/private/f_auto,q_auto/league/apznak2gjksszw48mxhq"
"00-0024434","https://static.www.nfl.com/image/private/f_auto,q_auto/league/pkug101zgjsp8a5krjh6"
"00-0034849","https://static.www.nfl.com/image/private/f_auto,q_auto/league/afexojkz4zbs4xxsxobr"
"00-0037155","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lajc14lel9fjm8p6flnc"
"00-0036185","https://static.www.nfl.com/image/private/f_auto,q_auto/league/fudtlvkuhq5trdy7sehq"
"00-0032094","https://static.www.nfl.com/image/private/f_auto,q_auto/league/ti4tf8pz8netweld38ye"
"00-0000072","https://static.www.nfl.com/image/private/f_auto,q_auto/league/czxpa4mxln9wa8mh3t5x"
"ADA719836","https://static.www.nfl.com/image/private/f_auto,q_auto/league/kikob2kvwj3gpe2hf29a"
